names,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer,roberts,alito,sotomayor,kagan,,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer,roberts,alito,sotomayor,kagan
Bunkley v. Florida,0,1,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Beneficial National Bank v. Anderson,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Dastar Corp. v. Twentieth Century Fox Film Corp.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Entergy La., Inc. v. Louisiana Pub. Serv. Comm'n",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Citizens Bank v. Alafabco, Inc.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Hillside Dairy, Inc. v. Lyons",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Nguyen v. United States,0,1,1,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,
"Desert Palace, Inc. v. Costa",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Fitzgerald v. Racing Association of Central Iowa,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
#NAME?,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Virginia v. Hicks,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Overton v. Bazzetta,1,1,1,0.5,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Federal Election Commission v. Beaumont,1,1,1,0,0.5,1,0,1,1,,,,,,,,,,,,,,,,,,
Sell v. United States,1,1,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
"United States v. American Library Association, Inc.",1,0,1,1,0.5,0,1,0,0.5,,,,,,,,,,,,,,,,,,
Gratz v. Bollinger,1,0,1,1,1,0,1,0,0.5,,,,,,,,,,,,,,,,,,
Grutter v. Bollinger,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,
American Insurance Association v. Garamendi,1,0,1,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,
Green Tree Financial Corp. v. Bazzle,0,0,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Georgia v. Ashcroft,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Wiggins v. Smith,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Lawrence v. Texas,0,1,0.5,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Stogner v. California,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
"Nike, Inc. v. Kasky",1,1,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,
Yarborough v. Gentry,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Mitchell v. Esparza,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Barnhart v. Thomas,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
United States v. Banks,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Raytheon Co. v. Hernandez,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Virginia v. Maryland,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,
McConnell v. Federal Election Commission,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Maryland v. Pringle,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Castro v. United States,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
SEC v. Edwards,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Verizon Comm., Inc. v. Law Offices of Curtis V. Trinko, LLP",1,0.5,1,1,1,0.5,0.5,1,1,,,,,,,,,,,,,,,,,,
Illinois v. Lidster,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Frew v. Hawkins,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Kontrick v. Ryan,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Alaska Dep't of Envtl. Conservation v. EPA,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Fellers v. United States,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Lamie v. United States Trustee,1,0.5,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Illinois v. Fisher,1,0.5,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Groh v. Ramirez,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
General Dynamics Land System v. Cline,1,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Doe v. Chao,1,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
Olympic Airways v. Husain,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Banks v. Dretke,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Locke v. Davey,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
United States Postal Serv. v. Flamingo Indus. (USA) Ltd.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Muhammad v. Close,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Raymond B. Yates, M.D., P.C. Profit Sharing Plan v. Hendon",1,1,1,0.5,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Baldwin v. Reese,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Crawford v. Washington,0.5,1,0.5,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Iowa v. Tovar,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
S. Fla. Water Mgmt. Dist. v. Miccosukee Tribe of Indians,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
United States v. Galletti,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Nixon v. Missouri Municipal League,1,0,1,0.5,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
United States v. Flores-Montano,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Nat'l Archives & Records Admin. v. Favish,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"BedRoc Ltd., LLC v. United States",1,0,1,1,1,0,0.5,0,0.5,,,,,,,,,,,,,,,,,,
United States v. Lara,1,1,1,0,0.5,0,0.5,1,1,,,,,,,,,,,,,,,,,,
Household Credit Servs. v. Pfennig,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Engine Mfrs. Ass'n v. S. Coast Air Quality Mgmt. Dist.,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,
Vieth v. Jubelirer,1,0,1,1,0.5,0,1,0,0,,,,,,,,,,,,,,,,,,
Jones v. R. R. Donnelley & Sons Co.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Dretke v. Haley,1,0,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,
Scarborough v. Principi,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Johnson v. California,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Middleton v. McNeil,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Tennessee Student Assistance Corp. v. Hood,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Till v. SCS Credit Corp.,0,0,0,0,0,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Tennessee v. Lane,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
"Grupo Dataflux v. Atlas Global Group, L.P.",1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Sabri v. United States,1,1,1,1,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Thornton v. United States,1,0,1,0.5,1,0,1,0.5,1,,,,,,,,,,,,,,,,,,
Nelson v. Campbell,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Yarborough v. Alvarado,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Republic of Austria v. Altmann,0,1,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Central Laborers' Pension Fund v. Heinz,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
DOT v. Pub. Citizen,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"City of Littleton v. Z. J. Gifts D-4, L.L.C.",1,1,1,0.5,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Elk Grove Unified Sch. Dist. v. Newdow,0.5,1,0.5,0.5,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Norton v. S. Utah Wilderness Alliance,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
United States v. Dominguez Benitez,1,1,1,0.5,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Hibbs v. Winn,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Pennsylvania State Police v. Suders,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,
F. Hoffmann-La Roche Ltd v. Empagran S. A.,1,1,1,0.5,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Hiibel v. Sixth Judicial District Court of Nevada,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Aetna Health Inc. v. Davila,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Pliler v. Ford,1,0.5,1,1,1,0.5,1,0,0,,,,,,,,,,,,,,,,,,
"Intel Corp. v. Advanced Micro Devices, Inc.",1,1,1,0.5,1,1,1,1,0,,,,,,,,,,,,,,,,,,
Tennard v. Dretke,0,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Blakely v. Washington,0,1,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,
Schriro v. Summerlin,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Cheney v. United States District Court,1,1,1,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,
Beard v. Banks,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Rumsfeld v. Padilla,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Rasul v. Bush,0,1,1,0,0.5,1,0,1,1,,,,,,,,,,,,,,,,,,
Hamdi v. Rumsfeld,1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,
Missouri v. Seibert,0,1,0,0,0.5,0.5,0,1,1,,,,,,,,,,,,,,,,,,
United States v. Patane,1,0,0.5,1,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,
Holland v. Jackson,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Ashcroft v. American Civil Liberties Union,0,1,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,
Sosa v. Alvarez-Machain,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Leocal v. Ashcroft,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Norfolk Southern Ry. v. James N. Kirby, Pty Ltd.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
article=2004 term per curiam opinions of the Supreme Court of the United States#Smith v. Texas,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
"Koons Buick Pontiac GMC, Inc. v. Nigh",1,1,1,0,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
City of San Diego v. Roe,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Kansas v. Colorado,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"KP Permanent Make-Up, Inc. v. Lasting Impression I, Inc.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Kowalski v. Tesmer,1,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,
Devenpeck v. Alford,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Cooper Indus. v. Aviall Servs.,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,
Florida v. Nixon,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Brosseau v. Haugen,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Whitfield v. United States,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
United States v. Booker,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Jama v. Immigration & Customs Enforcement,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Clark v. Martinez,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Illinois v. Caballes,1,1,1,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,
Commissioner of Internal Revenue v. Banks,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Howell v. Mississippi,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"article=Per curiam opinions of the Supreme Court of the United States, 2004 term#Bell v. Cone",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Smith v. Massachusetts,0,1,1,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,
Stewart v. Dutra Construction Co.,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Johnson v. California,1,0,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Roper v. Simmons,0,1,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Cherokee Nation v. Leavitt,1,1,1,0.5,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Tenet v. Doe,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Shepard v. United States,1,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,
Ballard v. Comm'r,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Wilkinson v. Dotson,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,
Muehler v. Mena,1,0.5,1,1,1,0.5,1,0.5,0.5,,,,,,,,,,,,,,,,,,
Rancho Palos Verdes v. Abrams,1,0.5,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Brown v. Payton,1,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,
Jackson v. Birmingham Board of Education,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
City of Sherrill v. Oneida Indian Nation,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Smith v. City of Jackson,1,1,0.5,1,0.5,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Rhines v. Weber,1,1,1,1,1,0.5,1,1,1,,,,,,,,,,,,,,,,,,
article=Exxon Mobil Corp. v. Saudi Basic Industries Corp.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Johnson v. United States,1,0,1,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,
Rousey v. Jacoway,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Dura Pharmaceuticals v. Broudo,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Pasquantino v. United States,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Small v. United States,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Pace v. DiGuglielmo,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
"Bates v. Dow Agrosciences, L.L.C.",1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Granholm v. Heald,0,0,0,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,
"Lingle v. Chevron U.S.A., Inc.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Johanns v. Livestock Mktg. Ass'n,1,0,1,1,0,0,1,0.5,1,,,,,,,,,,,,,,,,,,
Clingman v. Beaver,1,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,
Deck v. Missouri,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Medellin v. Dretke,1,0,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,
Arthur Andersen LLP v. United States,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Cutter v. Wilkinson,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Tory v. Cochran,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Gonzales v. Raich,0,1,0,0.5,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Alaska v. United States,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Spector v. Norwegian Cruise Line Ltd.,0,1,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,
Johnson v. California,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Bradshaw v. Stumpf,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Merck KGaA v. Integra Lifesciences I, Ltd.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Wilkinson v. Austin,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Miller-El v. Dretke,0,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Grable & Sons Metal Prod. v. Darue Engineering,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"San Remo Hotel, L.P. v. City & County of San Francisco",0.5,1,0.5,1,0.5,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Dodd v. United States,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Rompilla v. Beard,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
article=Graham County Soil & Water Conservation Dist. v. United States ex rel. Wilson,1,0.5,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
Am. Trucking Ass'ns v. Mich. PSC,1,1,1,0.5,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Mid-Con Freight Sys. v. Mich. PSC,0,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,
Kelo v. City of New London,0,1,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Gonzalez v. Crosby,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,
Exxon Mobil Corp. v. Allapattah Servs.,1,0,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
Orff v. United States,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Halbert v. Michigan,0,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Mayle v. Felix,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,
Van Orden v. Perry,1,0,0,1,1,0,1,0,0.5,,,,,,,,,,,,,,,,,,
Town of Castle Rock v. Gonzales,1,0,1,1,1,1,1,0,0.5,,,,,,,,,,,,,,,,,,
Bell v. Thompson,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
McCreary County v. ACLU,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
"Metro-Goldwyn-Mayer Studios, Inc. v. Grokster, Ltd.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Nat'l Cable & Telecomms. Ass'n v. Brand X Internet Servs.,1,1,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
Dye v. Hofbauer,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Schriro v. Smith,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Kane v. Garcia Espitia,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Eberhart v. United States,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
"IBP, Inc. v. Alvarez",,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
United States v. Olson,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Schaffer v. Weast,,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,
#NAME?,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Bradshaw v. Richey,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Lincoln Property Co. v. Roche,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Wagnon v. Prairie Band Potawatomi Nation,,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,
Martin v. Franklin Capital Corp.,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Lockhart v. United States,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
United States v. Georgia,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
"article=Volvo Trucks North America, Inc. v. Reeder-Simco GMC, Inc.",,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,
Evans v. Chavis,,0.5,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Brown v. Sanders,,0,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,,,,
Gonzales v. Oregon,,1,1,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,
"Wachovia Bank, N. A. v. Schmidt",,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Ayotte v. Planned Parenthood,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Rice v. Collins,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Will v. Hallock,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Central Virginia Community College v. Katz,,1,1,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,,
"Unitherm Food Systems, Inc. v. Swift-Eckrich, Inc.",,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,
"Wisconsin Right to Life, Inc. v. FEC",,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
article=Gonzales v. O Centro Espí_rita Beneficente Unií£o do Vegetal,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
"Buckeye Check Cashing, Inc. v. Cardegna",,1,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,
article=Ministry of Defense and Support for Armed Forces of Islamic Republic of Iran v. Elahi,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
"Ash v. Tyson Foods, Inc.",,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Lance v. Dennis,,0,,1,1,0.5,1,0.5,1,1,1,,,,,,,,,,,,,,,,
"Domino's Pizza, Inc. v. McDonald",,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Dolan v. United States Postal Service,,1,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,
Arbaugh v. Y & H Corp.,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Oregon v. Guzek,,1,,0.5,1,1,0.5,1,1,1,1,,,,,,,,,,,,,,,,
"Texaco, Inc. v. Dagher",,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
article=Scheidler v. National Organization for Women (2006),,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
"article=Illinois Tool Works Inc. v. Independent Ink, Inc.",,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
"article=Rumsfeld v. Forum for Academic and Institutional Rights, Inc.",,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
"Merrill Lynch, Pierce, Fenner & Smith, Inc. v. Dabit",,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
United States v. Grubbs,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Georgia v. Randolph,,1,,0,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
Gonzales v. Thomas,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
display=Salinas v. United States,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Northern Ins. Co. of N.Y. v. Chatham County,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Day v. McDonough,,0,,0,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,
Jones v. Flowers,,1,,0,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,
Hartman v. Moore,,1,,1,1,1,1,0,0,1,0,,,,,,,,,,,,,,,,
Ark. Dep't of Human Servs. v. Ahlborn,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Marshall v. Marshall,,0.5,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Holmes v. South Carolina,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
DaimlerChrysler Corp. v. Cuno,,1,,1,1,1,1,0.5,1,1,1,,,,,,,,,,,,,,,,
"Sereboff v. Mid Atlantic Medical Services, Inc.",,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
S. D. Warren Co. v. Maine Bd. of Env. Protection,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
"eBay Inc. v. MercExchange, L. L. C.",,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Brigham City v. Stuart,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Garcetti v. Ceballos,,0,,1,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,
Anza v. Ideal Steel Supply Corp.,,1,,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,
Zedner v. United States,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Whitman v. Dep't of Transportation,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
#NAME?,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
House v. Bell,,1,,0,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
Hill v. McDonough,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Hudson v. Michigan,,0,,0,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,
Kircher v. Putnam Funds Trust,,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
"article=Howard Delivery Service, Inc. v. Zurich American Ins. Co.",,1,,1,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,
"Empire HealthChoice Assurance, Inc. v. McVeigh",,1,,1,0,0,1,1,0,1,0,,,,,,,,,,,,,,,,
